Comentarios;Comentarios_Limpios;Polaridad;Sentimiento
"david_oviedo_
Mal ahí, ya estamos saturados y es una problemática para todos.
14 h3 Me gustaResponder";"david_oviedo_
mal ahí, ya estamos saturados y es una problemática para todos.
14 h3 ";0;Neutral
"rvanegasc
Esto se llama estrategia para captar votos ya que en Colombia el progre esta es declive y sabemos que han perdido muchos votos
14 h3 Me gustaResponder";"rvanegasc
esto se llama estrategia para captar votos ya que en colombia el progre esta es declive y sabemos que han perdido muchos votos
14 h3 ";0;Neutral
"ma_ry6328
Este desgobierno cada dia se equivoca mas y mas y mas...
14 h12 Me gustaResponder";"ma_ry6328
este desgobierno cada dia se equivoca mas y mas y mas...
14 h12 ";0;Neutral
"clara.p.serrano
A los colombianos quien nos da seguridad, salud, etc
14 h1 Me gustaResponder";"clara.p.serrano
a los colombianos quien nos da seguridad, salud, etc
14 h1 ";0;Neutral
"cesar_reina
Jajajaja ""reelección"" jajjaa robo, a los vecinos los robaron de frente y en lugar de ayudar a la legalidad de la democracia se hacen los de la ""vista gorda"" sabiendo que eso aumenta el problema de la migración...
14 h1 Me gustaResponder";"cesar_reina
jajajaja ""reelección"" jajjaa robo, a los vecinos los robaron de frente y en lugar de ayudar a la legalidad de la democracia se hacen los de la ""vista gorda"" sabiendo que eso aumenta el problema de la migración...
14 h1 ";0;Neutral
"uno.dos.ultraviolento
Mientras USA, UK y Francia muestran por qué eso es un mal experimento, el gobierno Petro cree que regalarles beneficios al tren de Aragua es humanitario; quién quiere pensar en la seguridad de los colombianos? Quien quiere pensar en la salud de los colombianos? Quien quiere pensar en la educación de los colombianos?
15 h56 Me gustaResponder";"uno.dos.ultraviolento
mientras usa, uk y francia muestran por qué eso es un mal experimento, el gobierno petro cree que regalarles beneficios al tren de aragua es humanitario; quién quiere pensar en la seguridad de los colombianos? quien quiere pensar en la salud de los colombianos? quien quiere pensar en la educación de los colombianos?
15 h56 ";0;Neutral
"isachava__rodriguez1234_
Petro piensa en todo menos Colombia ! Será q no se ha enterado q es el presidente!Bebedeti cuéntele
14 h7 Me gustaResponder";"isachava__rodriguez1234_
petro piensa en todo menos colombia ! será q no se ha enterado q es el presidente!bebedeti cuéntele
14 h7 ";0;Neutral
"elespectador
¡Buen jueves! Esta es nuestra #PortadaEE para hoy: MENOS BUROCRACIA.

En medio de las tensiones por la posesión de Nicolás Maduro como presidente de Venezuela, la Cancillería prepara un decreto para atender el creciente número de solicitudes de asilo, lo que ha generado caos en sus oficinas. Se busca reducir el número de actores que intervienen en el proceso y ampliar la vigencia de los salvoconductos.

📰 Conozca todos los detalles de esta y otras noticias en nuestra edición impresa o visite ELESPECTADOR.COM

#TemaDelDía #Migración #Colombia #Venezuela #ElEspectador #YoLeoElEspectador
Editado · 11 h";"elespectador
¡buen jueves! esta es nuestra #portadaee para hoy: menos burocracia.

en medio de las tensiones por la posesión de nicolás maduro como presidente de venezuela, la cancillería prepara un decreto para atender el creciente número de solicitudes de asilo, lo que ha generado caos en sus oficinas. se busca reducir el número de actores que intervienen en el proceso y ampliar la vigencia de los salvoconductos.

📰 conozca todos los detalles de esta y otras noticias en nuestra edición impresa o visite elespectador.com

#temadeldía #migración #colombia #venezuela #elespectador #yoleoelespectador
editado · 11 h";0;Neutral
"heroldbardamu
😂😂😂😂😂😂😂😂
15 hResponder";"heroldbardamu
😂😂😂😂😂😂😂😂
15 hresponder";0;Neutral
"elespectador
#Opinión | ""Visa UK"" es la videocaricatura de Mheo @mheocaricaturas.
22 h";"elespectador
#opinión | ""visa uk"" es la videocaricatura de mheo @mheocaricaturas.
22 h";0;Neutral
"carosoto.12
Que triste ,yo fui y es tan hermoso que soñaba con regresar pronto 😢
22 h2 Me gustaResponder";"carosoto.12
que triste ,yo fui y es tan hermoso que soñaba con regresar pronto 😢
22 h2 ";0;Neutral
"kricaurtee
😢
15 hResponder";"kricaurtee
😢
15 hresponder";0;Neutral
"solyluna.418
He estado y volveré, tengo familia ahi 🇬🇧
Dan bienvenida a todos los que deseen visitarla.
22 h2 Me gustaResponder";"solyluna.418
he estado y volveré, tengo familia ahi 🇬🇧
dan bienvenida a todos los que deseen visitarla.
22 h2 ";0;Neutral
"almilena75
Por unos pagamos todos😤😡
22 h3 Me gustaResponder";"almilena75
por unos pagamos todos😤😡
22 h3 ";0;Neutral
"andrewllobregat
Después de ser el imperio más grande del mundo y robarse los recursos de 5 continentes y destruir naciones y dejarlas en la pobreza ahora si colocan una visa para que nadie los invada.
15 hResponder";"andrewllobregat
después de ser el imperio más grande del mundo y robarse los recursos de 5 continentes y destruir naciones y dejarlas en la pobreza ahora si colocan una visa para que nadie los invada.
15 hresponder";0;Neutral
"flor_fluor
En ese aeropuerto principal , de Londres, dan un trato degrantante la verdad, hacia nosotros los colombianos, y otras nacionalidades es casi como que ya viendo el pasaporte tratan de criminales, o que se quieren quedar a vivir allí , los agentes parecen más del fbi hacen preguntas salidas del contexto, 😮parece que como si uno aquí en Colombia estuviera muerto de hambreeeee o algo así ! Vi a chicas árabes llorando y la separaron de su hijo , un chico de colombia me dijo que estuvo en una sala de interrogación por 3 horas , en fin hace un mes prometí que no volvería más allí, que casualidad que llegó está noticia así que me da igual, Londres es bonita pero un clima feo , siempre gris y nublado , 🤣 las personas no son tan felices o amables parecen un poco amargadas y borrachines en fin no entiendo porque piensan que uno se muere por estar allí .no todos queremos eso .
21 hResponder";"flor_fluor
en ese aeropuerto principal , de londres, dan un trato degrantante la verdad, hacia nosotros los colombianos, y otras nacionalidades es casi como que ya viendo el pasaporte tratan de criminales, o que se quieren quedar a vivir allí , los agentes parecen más del fbi hacen preguntas salidas del contexto, 😮parece que como si uno aquí en colombia estuviera muerto de hambreeeee o algo así ! vi a chicas árabes llorando y la separaron de su hijo , un chico de colombia me dijo que estuvo en una sala de interrogación por 3 horas , en fin hace un mes prometí que no volvería más allí, que casualidad que llegó está noticia así que me da igual, londres es bonita pero un clima feo , siempre gris y nublado , 🤣 las personas no son tan felices o amables parecen un poco amargadas y borrachines en fin no entiendo porque piensan que uno se muere por estar allí .no todos queremos eso .
21 hresponder";0;Neutral
"elespectador
Después de ocho años, Moana regresa con una nueva aventura en el mar. Asistimos al estreno de Moana 2 y descubrimos cómo algunas celebridades se comprometen con la conservación de nuestros océanos.
23 h";"elespectador
después de ocho años, moana regresa con una nueva aventura en el mar. asistimos al estreno de moana 2 y descubrimos cómo algunas celebridades se comprometen con la conservación de nuestros océanos.
23 h";0;Neutral
"jhonjairo.ez
30 años y porque me emociona ver esta película ❤️❤️❤️
14 hResponder";"jhonjairo.ez
30 años y porque me emociona ver esta película ❤️❤️❤️
14 hresponder";0;Neutral
"juanchomunoz
❤️
22 hResponder";"juanchomunoz
❤️
22 hresponder";0;Neutral
"lj_laitoon
ES HOY, ES HOYYYYYY
13 hResponder";"lj_laitoon
es hoy, es hoyyyyyy
13 hresponder";0;Neutral
"sindysalas072
El tatuaje
16 hResponder";"sindysalas072
el tatuaje
16 hresponder";0;Neutral
"daniel_vacag
Amo a Juli ""Una dura""
23 h1 Me gustaResponder";"daniel_vacag
amo a juli ""una dura""
23 h1 ";0;Neutral
"elespectador
Desde el pasado 29 de septiembre comenzó un fenómeno poco común en la Tierra: un pequeño asteroide, atrapado por la gravedad de nuestro planeta, se ve en el cielo nocturno como una “miniluna” junto a nuestro satélite habitual. En otras palabras, el evento crea la ilusión de tener dos lunas visibles en el firmamento. Sin embargo, la NASA confirmó que este fenómeno está próximo a terminar, pues el asteroide emprenderá un viaje al Sol y pasará mucho tiempo antes de que vuelva a suceder. ¿Cuándo podrá volver a verse?

La miniluna fue descubierta el pasado 7 de agosto gracias al telescopio del proyecto ATLAS, en Sudáfrica. Se trata de un asteroide que fue nombrado 2024 PT5. En su momento, científicos españoles de la Universidad Complutense de Madrid hicieron los cálculos para confirmar que, efectivamente, se vería como una miniluna junto a nuestro satélite. También descartaron la posible amenaza de que este colisionara en nuestro planeta.

Amplíe la información en el link de nuestra bio
1 día";"elespectador
desde el pasado 29 de septiembre comenzó un fenómeno poco común en la tierra: un pequeño asteroide, atrapado por la gravedad de nuestro planeta, se ve en el cielo nocturno como una “miniluna” junto a nuestro satélite habitual. en otras palabras, el evento crea la ilusión de tener dos lunas visibles en el firmamento. sin embargo, la nasa confirmó que este fenómeno está próximo a terminar, pues el asteroide emprenderá un viaje al sol y pasará mucho tiempo antes de que vuelva a suceder. ¿cuándo podrá volver a verse?

la miniluna fue descubierta el pasado 7 de agosto gracias al telescopio del proyecto atlas, en sudáfrica. se trata de un asteroide que fue nombrado 2024 pt5. en su momento, científicos españoles de la universidad complutense de madrid hicieron los cálculos para confirmar que, efectivamente, se vería como una miniluna junto a nuestro satélite. también descartaron la posible amenaza de que este colisionara en nuestro planeta.

amplíe la información en el link de nuestra bio
1 día";0;Neutral
"santanaoriel
Esa vaina ni se ve
1 día2 Me gustaResponder";"santanaoriel
esa vaina ni se ve
1 día2 ";0;Neutral
"guerrers_de_terracota
Próxima ""a"", señores redactores!
18 h3 Me gustaResponder";"guerrers_de_terracota
próxima ""a"", señores redactores!
18 h3 ";0;Neutral
"bryakorn1
Hola! Aquí mi IG tome fotos y vídeos de luna con mi telescopio 🔭
6 hResponder";"bryakorn1
hola! aquí mi ig tome fotos y vídeos de luna con mi telescopio 🔭
6 hresponder";0;Neutral
"ritaredondo05
Porque todavía se dejan engañar cuál miniluna es una nave que arribó y ya cumplió su cometido y se retira del planeta abran los ojos que nunca hemos estado solos.
23 hResponder";"ritaredondo05
porque todavía se dejan engañar cuál miniluna es una nave que arribó y ya cumplió su cometido y se retira del planeta abran los ojos que nunca hemos estado solos.
23 hresponder";0;Neutral
"elespectador
Opinión || @unplanomas le preguntó @marcelamar07 y @juanpurrego sus gustos cinéfilos, y de paso nos invitaron a ver su última película @unopelicula. 🎬 Una producción de @cloverstudios__ dirigida por @juliocine quién debuta con su ópera prima. Así que no pierdas la oportunidad de ir a verla! 🇨🇴
.
#CineColombiano @cineplexcol @lafrancofra @simonbrand_director #UNOpelícula #MarcelaMar #JuanPabloUrrego
1 día";"elespectador
opinión || @unplanomas le preguntó @marcelamar07 y @juanpurrego sus gustos cinéfilos, y de paso nos invitaron a ver su última película @unopelicula. 🎬 una producción de @cloverstudios__ dirigida por @juliocine quién debuta con su ópera prima. así que no pierdas la oportunidad de ir a verla! 🇨🇴
.
#cinecolombiano @cineplexcol @lafrancofra @simonbrand_director #unopelícula #marcelamar #juanpablourrego
1 día";0;Neutral
"alejitaphalange
Tremenda!!! Toca ir a verla 🙌
23 h1 Me gustaResponder";"alejitaphalange
tremenda!!! toca ir a verla 🙌
23 h1 ";0;Neutral
"cinenjuli
JAJAJAJAJ ME ENCANTARON LAS PREGUNTAS!!!!🎬🇨🇴‼️
23 h1 Me gustaResponder";"cinenjuli
jajajajaj me encantaron las preguntas!!!!🎬🇨🇴‼️
23 h1 ";0;Neutral
"bettyc2015
Felicitaciones por ese formato de entrevista..que bien por esos cambios 👏👏
19 h2 Me gustaResponder";"bettyc2015
felicitaciones por ese formato de entrevista..que bien por esos cambios 👏👏
19 h2 ";0;Neutral
"jjeimi07
La edición 10/10 😂😂
3 hResponder";"jjeimi07
la edición 10/10 😂😂
3 hresponder";0;Neutral
"pepeencamara
👏👏👏
11 h1 Me gustaResponder";"pepeencamara
👏👏👏
11 h1 ";0;Neutral
"animatiago
Un hombre de cultura:0❤️
22 h1 Me gustaResponder";"animatiago
un hombre de cultura:0❤️
22 h1 ";0;Neutral
"taniagonzalezzr
🔥
15 h1 Me gustaResponder";"taniagonzalezzr
🔥
15 h1 ";0;Neutral
"unciudadanonormalito
Club de la pelea , el Padrino (las 3) Big fish... Uffff
14 h1 Me gustaResponder";"unciudadanonormalito
club de la pelea , el padrino (las 3) big fish... uffff
14 h1 ";0;Neutral
"dani3l.co_
🔥me encanta que se esté promoviendo el buen cine colombiano. Que gran trabajo @patancartoon
12 hResponder";"dani3l.co_
🔥me encanta que se esté promoviendo el buen cine colombiano. que gran trabajo @patancartoon
12 hresponder";0;Neutral
"elespectador
Desde este jueves el ICETEX abre la etapa de renovación en todas las líneas de crédito para garantizar la matrícula de más de 140.000 beneficiarios actuales.

Frente a la convocatoria para nuevos créditos del próximo año, la junta directiva anunció que se reunirá de manera extraordinaria en lo que queda de año para evaluar mecanismos y alternativas que permitan “la posible” apertura de dicha convocatoria.

Le contamos más detalles de esta renovación en el enlace de la biografía.
1 día";"elespectador
desde este jueves el icetex abre la etapa de renovación en todas las líneas de crédito para garantizar la matrícula de más de 140.000 beneficiarios actuales.

frente a la convocatoria para nuevos créditos del próximo año, la junta directiva anunció que se reunirá de manera extraordinaria en lo que queda de año para evaluar mecanismos y alternativas que permitan “la posible” apertura de dicha convocatoria.

le contamos más detalles de esta renovación en el enlace de la biografía.
1 día";0;Neutral
"omar.armando.gomez
Que peligro con esas inconsistencia e incertidumbre... Yo no lo haría ni lo recomendaría
14 hResponder";"omar.armando.gomez
que peligro con esas inconsistencia e incertidumbre... yo no lo haría ni lo recomendaría
14 hresponder";0;Neutral
"alixnavarrocorpociudadanos
Espero que @icetex_colombia le haya devuelto la beca a la violinista caleña que había dejado varada en España. Una violinista brillante y quitarle sin justificación su beca, injusto!
16 h1 Me gustaResponder";"alixnavarrocorpociudadanos
espero que @icetex_colombia le haya devuelto la beca a la violinista caleña que había dejado varada en españa. una violinista brillante y quitarle sin justificación su beca, injusto!
16 h1 ";0;Neutral
"luisdoval10
Jaja ya se les acabó el berrinche 😂
1 día1 Me gustaResponder";"luisdoval10
jaja ya se les acabó el berrinche 😂
1 día1 ";0;Neutral
"elespectador
Florentino Pérez es uno de los personajes más poderosos del fútbol mundial. Probablemente el más influyente de las últimas décadas. El artífice de la consolidación del balompié como una industria global que mueve miles de millones de dólares cada año en todos los rincones del planeta.
1 día";"elespectador
florentino pérez es uno de los personajes más poderosos del fútbol mundial. probablemente el más influyente de las últimas décadas. el artífice de la consolidación del balompié como una industria global que mueve miles de millones de dólares cada año en todos los rincones del planeta.
1 día";0;Neutral
"nicolasn.diaz
Dios creó el cielo, Florentino puso las estrellas.
1 día5 Me gustaResponder";"nicolasn.diaz
dios creó el cielo, florentino puso las estrellas.
1 día5 ";0;Neutral
"gloriadianapaolacueto
😂😂😂😂
1 díaResponder";"gloriadianapaolacueto
😂😂😂😂
1 díaresponder";0;Neutral
"majibastidas
Al más torcido le llaman poderoso?
1 día4 Me gustaResponder";"majibastidas
al más torcido le llaman poderoso?
1 día4 ";0;Neutral
"themauromartel
Ese viejo representa todo lo que está mal en el fútbol
1 día4 Me gustaResponder";"themauromartel
ese viejo representa todo lo que está mal en el fútbol
1 día4 ";0;Neutral
"hdrodriguez64
Y siniestro...
23 hResponder";"hdrodriguez64
y siniestro...
23 hresponder";0;Neutral
"elespectador
#ATENCIÓN 🔴Una emergencia se registró en la tarde de este miércoles 27 de noviembre en el aeropuerto Matecaña de Pereira, donde un avión de Avianca tuvo que ser evacuado de emergencia, en medio de la pista, por fallas en el despegue.

Primeras versiones indican que la aeronave presentó fallas en el momento de aplicar potencia, lo que generó una alerta por un posible incendio dentro del avión, por lo que se decidió desplegar los toboganes inflables y evacuar a los pasajeros.

Conozca los detalles de lo ocurrido en el enlace de la biografía.
1 día";"elespectador
#atención 🔴una emergencia se registró en la tarde de este miércoles 27 de noviembre en el aeropuerto matecaña de pereira, donde un avión de avianca tuvo que ser evacuado de emergencia, en medio de la pista, por fallas en el despegue.

primeras versiones indican que la aeronave presentó fallas en el momento de aplicar potencia, lo que generó una alerta por un posible incendio dentro del avión, por lo que se decidió desplegar los toboganes inflables y evacuar a los pasajeros.

conozca los detalles de lo ocurrido en el enlace de la biografía.
1 día";0;Neutral
"vanessaisabeltalero
Ajjaajajajajajajaj la foto del piloto. Hombre sean serios
1 día43 Me gustaResponder";"vanessaisabeltalero
ajjaajajajajajajaj la foto del piloto. hombre sean serios
1 día43 ";0;Neutral
"edgarmromero
Avianca en decadencia.
1 día3 Me gustaResponder";"edgarmromero
avianca en decadencia.
1 día3 ";0;Neutral
"alejobot
Hablando de una emergencia de un avión y con una foto donde el piloto posa por la ventana sonriente y con la manito arriba…Mmmm…. Hay que vender una buena comunicación verbal y no verbal. ¿Dónde está la foto real del hecho?🫣🫠
1 día20 Me gustaResponder";"alejobot
hablando de una emergencia de un avión y con una foto donde el piloto posa por la ventana sonriente y con la manito arriba…mmmm…. hay que vender una buena comunicación verbal y no verbal. ¿dónde está la foto real del hecho?🫣🫠
1 día20 ";0,2;Positivo
"astrocami33
Video…
1 díaResponder";"astrocami33
video…
1 díaresponder";0;Neutral
"topenico
Mi sueño es votarme por esos toboganes
1 día8 Me gustaResponder";"topenico
mi sueño es votarme por esos toboganes
1 día8 ";0;Neutral
"juanavalentinars
Ese piloto 🤣🤣🤣🤣 jajajaja que falta de seriedad
1 día3 Me gustaResponder";"juanavalentinars
ese piloto 🤣🤣🤣🤣 jajajaja que falta de seriedad
1 día3 ";0;Neutral
"sandino_camilo
😮😮😮
1 díaResponder";"sandino_camilo
😮😮😮
1 díaresponder";0;Neutral
"darteaga963
🙏🏻🙏🏻
15 hResponder";"darteaga963
🙏🏻🙏🏻
15 hresponder";0;Neutral
"andy_tor.vil
Videos del momento exacto del incidente en el aeropuerto …ver más.
1 día3 Me gustaResponder";"andy_tor.vil
videos del momento exacto del incidente en el aeropuerto …ver más.
1 día3 ";0;Neutral
"artie.rubiano
Los toboganes que hicieron ahora agh
1 día3 Me gustaResponder";"artie.rubiano
los toboganes que hicieron ahora agh
1 día3 ";0;Neutral
"reykingroyal2024
Que miedo viajar en Avianca ha tenido muchas fallas en varios vuelos ultimamente
1 día4 Me gustaResponder";"reykingroyal2024
que miedo viajar en avianca ha tenido muchas fallas en varios vuelos ultimamente
1 día4 ";0;Neutral
"mariaalep23
Que forma de expresar una noticia con una imagen que no coincide con una emergencia. 😂😂
14 hResponder";"mariaalep23
que forma de expresar una noticia con una imagen que no coincide con una emergencia. 😂😂
14 hresponder";0;Neutral
"libardorojasa
La turbina se encendió
1 díaResponder";"libardorojasa
la turbina se encendió
1 díaresponder";0;Neutral
"libardorojasa
Y acaban de cancelar los dos vuelos de avianca
1 díaResponder";"libardorojasa
y acaban de cancelar los dos vuelos de avianca
1 díaresponder";0;Neutral
"elespectador
La represente a la Cámara por el Pacto Histórico, Susana Boreal, en medio de una sesión de la Comisión Sexta, aseguró que “obligar a un niño a asistir al colegio es una forma de violencia y adoctrinamiento muy evidente”. Las declaraciones han generado diversas opiniones.
1 día";"elespectador
la represente a la cámara por el pacto histórico, susana boreal, en medio de una sesión de la comisión sexta, aseguró que “obligar a un niño a asistir al colegio es una forma de violencia y adoctrinamiento muy evidente”. las declaraciones han generado diversas opiniones.
1 día";0;Neutral
"davidnietoar
La representante a la camara que ordenaron por Temu
1 día2.055 Me gustaResponder";"davidnietoar
la representante a la camara que ordenaron por temu
1 día2.055 ";0;Neutral
"a_cat_that_barks
Bueno, si ella es producto de ese sistema educativo, tenemos que darle la razón. Algo no funciona.
1 día1.785 Me gustaResponder";"a_cat_that_barks
bueno, si ella es producto de ese sistema educativo, tenemos que darle la razón. algo no funciona.
1 día1.785 ";0;Neutral
"cifupau
Primero me reí😂... Luego me acordé que no he utilizado el binomio cuadrado perfecto y q ahora nisiquiera recuerdo como hacerlo, y me di cuenta que tal vez no está tan equivocada en el hecho de preguntarnos, que de lo que aprendemos en el colegio realmente nos sirvió en la vida?
1 día144 Me gustaResponder";"cifupau
primero me reí😂... luego me acordé que no he utilizado el binomio cuadrado perfecto y q ahora nisiquiera recuerdo como hacerlo, y me di cuenta que tal vez no está tan equivocada en el hecho de preguntarnos, que de lo que aprendemos en el colegio realmente nos sirvió en la vida?
1 día144 ";0;Neutral
"cristicampuzano
Lo vuelvo a oír…. Y sigo sin creer…….
22 h80 Me gustaResponder";"cristicampuzano
lo vuelvo a oír…. y sigo sin creer…….
22 h80 ";0;Neutral
"ordonezarq69
No olviden que le pagamos 50 millones mensuales , más lo de su UTL, más lo del novio . Que viva el Antro Histórico
1 día421 Me gustaResponder";"ordonezarq69
no olviden que le pagamos 50 millones mensuales , más lo de su utl, más lo del novio . que viva el antro histórico
1 día421 ";0;Neutral
"yosoyernestoortiz
Escucharla a ella es violencia
1 día1.118 Me gustaResponder";"yosoyernestoortiz
escucharla a ella es violencia
1 día1.118 ";0;Neutral
"manuelmeap
Violencia es tener q pagarle $48 millones por balbucear la verborrea que emana de su boca.
1 día1.261 Me gustaResponder";"manuelmeap
violencia es tener q pagarle $48 millones por balbucear la verborrea que emana de su boca.
1 día1.261 ";0;Neutral
"aislen_73
Increíble que está tipa de gane una millonaria suma por hablar 💩
1 día719 Me gustaResponder";"aislen_73
increíble que está tipa de gane una millonaria suma por hablar 💩
1 día719 ";0;Neutral
"camilo_tarb
Años de trabajo y lucha por garantizar el derecho a la educación, para que esta hippie desde sus privilegios venga con estas ideas. La educación genera oportunidades y vuelve próspera a las sociedades. El punto no es obligar a los niños a ir el colegio, es revisar el modelo educativo. Creo que debe fumar menos 🥦 y educarse más
1 día1.236 Me gustaResponder";"camilo_tarb
años de trabajo y lucha por garantizar el derecho a la educación, para que esta hippie desde sus privilegios venga con estas ideas. la educación genera oportunidades y vuelve próspera a las sociedades. el punto no es obligar a los niños a ir el colegio, es revisar el modelo educativo. creo que debe fumar menos 🥦 y educarse más
1 día1.236 ";0;Neutral
"andreincolombia
¿Este ser vive a costa de nuestros impuestos? No sabe ni expresarse con información seria, parece el gobierno estudiantil.
1 día271 Me gustaResponder";"andreincolombia
¿este ser vive a costa de nuestros impuestos? no sabe ni expresarse con información seria, parece el gobierno estudiantil.
1 día271 ";0;Neutral
"johnny_snyder_
""Pues no estoy ni en contra ni a favor. Pero si me lo cuestiono, nunca me enseñaron:
1. Cómo alimentarme y cuidar mi salud.
2. Educación financiera.
3. Leyes básicas.
4. Política o cómo participar.
Si lo analizo, el uniforme, los horarios establecidos, la campana de recreo, la entrada y la salida, me parece que es algo que también ocurre en las empresas: se usa uniforme, se entra a ciertas horas y se sale a ciertas horas.
5. Nunca me enseñaron astronomía.
Creo que no se trata de si la señora es de derecha, izquierda, liberal o de centro, etc. Solo hay que cuestionarnos. La verdad es que hasta en el colegio nos quitan el hábito de cuestionar, limitándonos a solo decir: 'Sí, profesora(o)'.""
1 día396 Me gustaResponder";"johnny_snyder_
""pues no estoy ni en contra ni a favor. pero si me lo cuestiono, nunca me enseñaron:
1. cómo alimentarme y cuidar mi salud.
2. educación financiera.
3. leyes básicas.
4. política o cómo participar.
si lo analizo, el uniforme, los horarios establecidos, la campana de recreo, la entrada y la salida, me parece que es algo que también ocurre en las empresas: se usa uniforme, se entra a ciertas horas y se sale a ciertas horas.
5. nunca me enseñaron astronomía.
creo que no se trata de si la señora es de derecha, izquierda, liberal o de centro, etc. solo hay que cuestionarnos. la verdad es que hasta en el colegio nos quitan el hábito de cuestionar, limitándonos a solo decir: 'sí, profesora(o)'.""
1 día396 ";0;Neutral
"edithvesga
Lo más peligroso para un gobierno de izquierda es que la gente estudie, necesitan que esa persona dependa de migajas que ofrecen para asegurar un voto. Un profesional depende de si mismo.
1 día501 Me gustaResponder";"edithvesga
lo más peligroso para un gobierno de izquierda es que la gente estudie, necesitan que esa persona dependa de migajas que ofrecen para asegurar un voto. un profesional depende de si mismo.
1 día501 ";0;Neutral
"juansaar9006
Ella quiere niños que sean gestores de paz 😂
1 día83 Me gustaResponder";"juansaar9006
ella quiere niños que sean gestores de paz 😂
1 día83 ";0;Neutral
"diegolassolara
Ahí están las consecuencias cuando no envían a los niños al colegio 🤷🏽‍♂️
1 día244 Me gustaResponder";"diegolassolara
ahí están las consecuencias cuando no envían a los niños al colegio 🤷🏽‍♂️
1 día244 ";0;Neutral
"cadillacmedina
1 día13 Me gustaResponder
Ver traducción";"cadillacmedina
1 día13 ";0;Neutral
"bibocol
Una familia de Santander la adoptó pensando que se trataba de un gato perdido. Sin embargo, con el paso del tiempo sus actitudes alertaron a la comunidad, pues correspondían a las de un animal silvestre.

Nala fue entregada al Centro de Atención y Valoración de Fauna Silvestre (CAV) de Corpornor, un espacio para proteger la biodiversidad del Norte de Santander. Allí, el animal pasó año y medio entre valoraciones médicas y la supervisión de un equipo técnico de la corporación.

Aunque su diagnóstico inicial mostraba que tenía un buen estado de salud, la jaguar comenzó a mostrar señales de impronta humana, una condición que imposibilita su reintegración a un ambiente silvestre.

También tuvieron que hacer un proceso de transición alimenticia para que Nala pasara de comer alimentos cocidos a carnes crudas.

En abril de 2024, la corporación comenzó los trámites para llevarla al zoológico de Cali y ahora, con el apoyo de la Fuerza Aeroespacial Colombiana, Nala fue trasladada de Cúcuta a la capital del Valle del Cauca y llegó a su nuevo hogar.

Conozca más en la sección de Ambiente de ELESPECTADOR.COM 📲
1 día";"bibocol
una familia de santander la adoptó pensando que se trataba de un gato perdido. sin embargo, con el paso del tiempo sus actitudes alertaron a la comunidad, pues correspondían a las de un animal silvestre.

nala fue entregada al centro de atención y valoración de fauna silvestre (cav) de corpornor, un espacio para proteger la biodiversidad del norte de santander. allí, el animal pasó año y medio entre valoraciones médicas y la supervisión de un equipo técnico de la corporación.

aunque su diagnóstico inicial mostraba que tenía un buen estado de salud, la jaguar comenzó a mostrar señales de impronta humana, una condición que imposibilita su reintegración a un ambiente silvestre.

también tuvieron que hacer un proceso de transición alimenticia para que nala pasara de comer alimentos cocidos a carnes crudas.

en abril de 2024, la corporación comenzó los trámites para llevarla al zoológico de cali y ahora, con el apoyo de la fuerza aeroespacial colombiana, nala fue trasladada de cúcuta a la capital del valle del cauca y llegó a su nuevo hogar.

conozca más en la sección de ambiente de elespectador.com 📲
1 día";0;Neutral
"emilyayalamanzana
Como no..... 🤔🤔🤔.... Zoológico... De lógico???? 🤔🤔🤔
1 díaResponder";"emilyayalamanzana
como no..... 🤔🤔🤔.... zoológico... de lógico???? 🤔🤔🤔
1 díaresponder";0;Neutral
"nanitapezzotti
Norte de santander!
1 día1 Me gustaResponder";"nanitapezzotti
norte de santander!
1 día1 ";0;Neutral
"chris_olaciregui
Al estar amansada no puede ser rehabilitada para regresar a vida silvestre; en un zoológico recibe los cuidados que necesita para sobrevivir
1 día9 Me gustaResponder";"chris_olaciregui
al estar amansada no puede ser rehabilitada para regresar a vida silvestre; en un zoológico recibe los cuidados que necesita para sobrevivir
1 día9 ";0;Neutral
"dalilanis
Pobre Nala .. ojalá pueda ser libre.. recordara a su familia
1 día4 Me gustaResponder";"dalilanis
pobre nala .. ojalá pueda ser libre.. recordara a su familia
1 día4 ";0;Neutral
"eduardojosevargasc
😢
1 díaResponder";"eduardojosevargasc
😢
1 díaresponder";0;Neutral
"carlosgermand
El titular está mal! El Departamento es Norte de Santander, NO Santander, cuando van a entender que son dos departamentos diferentes? 😒😒
1 díaResponder";"carlosgermand
el titular está mal! el departamento es norte de santander, no santander, cuando van a entender que son dos departamentos diferentes? 😒😒
1 díaresponder";0,125;Positivo
"rolitovien
Jaguaryu??
1 díaResponder";"rolitovien
jaguaryu??
1 díaresponder";0;Neutral
"motl3ydude
😡😡😡😡
1 día1 Me gustaResponder";"motl3ydude
😡😡😡😡
1 día1 ";0;Neutral
"piliartistica
Para que lo lleven s un zoológico para encerrarlo en cautiverio?
1 día2 Me gustaResponder";"piliartistica
para que lo lleven s un zoológico para encerrarlo en cautiverio?
1 día2 ";0;Neutral
"sultan_anaid97
Los colombianos pedimos que la jaguar 🐆 Nala sea tratada con todos los cuidados posibles hasta el último día de vida en el zoo.
1 día1 Me gustaResponder";"sultan_anaid97
los colombianos pedimos que la jaguar 🐆 nala sea tratada con todos los cuidados posibles hasta el último día de vida en el zoo.
1 día1 ";0;Neutral
